ZONA|FRAME|SLOT|PUERTO|ING|ID CAJA (ETIQUETA)|MODELO DE CIERRE|ID SPLITTER (NOMBRE DE CIERRE)|NOMENCLATURA|TIPO SPLITTER|LATITUD|LONGITUD|CONDICIONES SPLITTER|DISTRIBUCIÓN|FECHA
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-1||ACR-1-1|ACR-1-1/1-1-1|1X8|26.9221986|-101.45419|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-2||ACR-1-2|ACR-1-1/1-2-2|1X16|26.921328|-101.45381|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-3||ACR-1-3|ACR-1-1/1-3-3|1X8|26.921106|-101.45479|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-4||ACR-1-4|ACR-1-1/1-4-4|1X16|26.9220023|-101.45626|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-5||ACR-1-5|ACR-1-1/1-5-5|1X8|26.9222085|-101.45759|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-6||ACR-1-6|ACR-1-1/1-6-6|1X16|26.9211131|-101.45845|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-7||ACR-1-7|ACR-1-1/1-7-7|1X8|26.9203977|-101.45755|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|1|MORELOS_MONCLOVA 1/1/1|ACR-1-8||ACR-1-8|ACR-1-1/1-8-8|1X16|26.9197576|-101.45655|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|2|MORELOS_MONCLOVA 1/1/2|ACR-1-9||ACR-1-9|ACR-1-2/2-1-1|1X8|26.9228057|-101.45415|OPERABLE||20230110
MORELOS_MONCLOVA|1|1|2|MORELOS_MONCLOVA 1/1/2|ACR-1-10||ACR-1-10|ACR-1-2/2-2-2|1X16|26.9238319|-101.45464|OPERABLE||20230110
